siros_sg_empresa_icao;siros_nr_voo;siros_sg_icao_origem;siros_sg_icao_destino;siros_cd_tipo_servico;siros_dt_partida_prevista_bsb;siros_dt_chegada_prevista_bsb;vra_nm_empresa;vra_nm_aerodromo_origem;vra_nm_municipio_origem;vra_nm_aerodromo_destino;vra_nm_municipio_destino;vra_dt_partida_real;vra_dt_chegada_real;vra_sn_cancelado;vra_sn_atraso_maior_30min;vra_nr_min_atraso_partida;vra_nr_min_atraso_chegada;estatistica_matricula;estatistica_cd_di;reg_voo_matricula;origem_ds_ceu_menos_4;origem_ds_ceu_menos_3;origem_ds_ceu_menos_2;origem_ds_ceu_menos_1;origem_ds_ceu;origem_ds_ceu_mais_1;origem_ds_ceu_mais_2;origem_ds_ceu_mais_3;origem_ds_ceu_mais_4;origem_ds_tempo_menos_4;origem_ds_tempo_menos_3;origem_ds_tempo_menos_2;origem_ds_tempo_menos_1;origem_ds_tempo;origem_ds_tempo_mais_1;origem_ds_tempo_mais_2;origem_ds_tempo_mais_3;origem_ds_tempo_mais_4;origem_cd_status_menos_4;origem_cd_status_menos_3;origem_cd_status_menos_2;origem_cd_status_menos_1;origem_cd_status;origem_cd_status_mais_1;origem_cd_status_mais_2;origem_cd_status_mais_3;origem_cd_status_mais_4;destino_ds_ceu_menos_4;destino_ds_ceu_menos_3;destino_ds_ceu_menos_2;destino_ds_ceu_menos_1;destino_ds_ceu;destino_ds_ceu_mais_1;destino_ds_ceu_mais_2;destino_ds_ceu_mais_3;destino_ds_ceu_mais_4;destino_ds_tempo_menos_4;destino_ds_tempo_menos_3;destino_ds_tempo_menos_2;destino_ds_tempo_menos_1;destino_ds_tempo;destino_ds_tempo_mais_1;destino_ds_tempo_mais_2;destino_ds_tempo_mais_3;destino_ds_tempo_mais_4;destino_cd_status_menos_4;destino_cd_status_menos_3;destino_cd_status_menos_2;destino_cd_status_menos_1;destino_cd_status;destino_cd_status_mais_1;destino_cd_status_mais_2;destino_cd_status_mais_3;destino_cd_status_mais_4
MWM;5800;SBKP;SBBR;F;06/11/2024 21:50;06/11/2024 23:20;MODERN TRANSPORTE AEREO DE CARGA S.A;VIRACOPOS;CAMPINAS;PRESIDENTE JUSCELINO KUBITSCHEK;BRASÍLIA;06/11/2024 21:57;06/11/2024 23:37;0.0;0.0;7.0;17.0;YBF ;0;PPYBF;;;;;Claro;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;nublado;;;;;;;;;Trovoada;;;;;;;;;g;;;;
ETH;506;SBGR;SAEZ;J;06/11/2024 17:00;06/11/2024 19:55;ETHIOPIAN AIRLINES GROUP;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT);EZEIZA, BUENOS AIRES PROVINCE;06/11/2024 17:45;06/11/2024 20:30;0.0;1.0;45.0;35.0;;0;;;;;;nublado;;;;;;;;;Trovoada / Chuva;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;y;;;;
ETH;506;HAAB;SBGR;J;06/11/2024 03:50;06/11/2024 16:00;ETHIOPIAN AIRLINES GROUP;BOLE INTERNATIONAL AIRPORT;ADDIS ABABA;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 04:30;06/11/2024 16:28;0.0;0.0;40.0;28.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Trovoada / Chuva;;;;;;;;;;;;;
ETH;507;SAEZ;SBGR;J;06/11/2024 21:30;07/11/2024 00:05;ETHIOPIAN AIRLINES GROUP;MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT);EZEIZA, BUENOS AIRES PROVINCE;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 21:25;07/11/2024 00:03;0.0;0.0;-5.0;-2.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
ETH;507;SBGR;HAAB;J;06/11/2024 01:30;06/11/2024 13:30;ETHIOPIAN AIRLINES GROUP;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;BOLE INTERNATIONAL AIRPORT;ADDIS ABABA;06/11/2024 01:53;06/11/2024 13:33;0.0;0.0;23.0;3.0;;0;;;;;;com nuvens esparsas;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
ETH;3017;SCEL;KMIA;P;06/11/2024 07:00;06/11/2024 13:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3505;SBGR;SCEL;F;06/11/2024 00:00;06/11/2024 04:00;ETHIOPIAN AIRLINES GROUP;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;;;1.0;0.0;;;;;;;;;;nublado;;;;;;;;;Chuva;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
ETH;3505;SBGR;SCEL;F;07/11/2024 00:00;07/11/2024 04:00;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
ETH;3505;DNMM;SBGR;F;06/11/2024 05:50;06/11/2024 13:50;ETHIOPIAN AIRLINES GROUP;MURTALA MOHAMMED INTERNATIONAL AIRPORT;IKEJA,  LAGOS STATE;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
ETH;3507;SCEL;KMIA;P;06/11/2024 05:00;06/11/2024 13:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3509;SCEL;KMIA;P;06/11/2024 00:00;06/11/2024 08:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3509;SCEL;KMIA;P;07/11/2024 00:00;07/11/2024 08:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3511;SCEL;KMIA;P;06/11/2024 04:15;06/11/2024 12:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3652;SCEL;DNMM;P;06/11/2024 02:15;06/11/2024 12:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3653;SCEL;HAAB;P;06/11/2024 03:00;06/11/2024 13:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3655;SCEL;EBLG;P;06/11/2024 05:00;06/11/2024 15:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3806;SCEL;KMIA;P;06/11/2024 02:10;06/11/2024 10:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3906;SCEL;KMIA;P;06/11/2024 03:00;06/11/2024 13:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;3908;SCEL;KJFK;P;06/11/2024 10:00;06/11/2024 18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAN;406;SUMU;SBGR;J;06/11/2024 11:30;06/11/2024 14:05;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT;MONTEVIDEO, MONTEVIDEO;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 11:45;06/11/2024 14:09;0.0;0.0;15.0;4.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
LAN;407;SBGR;SUMU;J;06/11/2024 15:05;06/11/2024 17:45;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT;MONTEVIDEO, MONTEVIDEO;06/11/2024 15:05;06/11/2024 17:41;0.0;0.0;0.0;-4.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;627;SBGR;SCEL;J;06/11/2024 10:55;06/11/2024 15:00;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 10:58;06/11/2024 15:09;0.0;0.0;3.0;9.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;672;SCEL;SBCF;J;06/11/2024 13:07;06/11/2024 17:35;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;TANCREDO NEVES;CONFINS;06/11/2024 13:05;06/11/2024 17:45;0.0;0.0;-2.0;10.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
LAN;673;SBCF;SCEL;J;06/11/2024 18:20;06/11/2024 23:15;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);TANCREDO NEVES;CONFINS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 19:05;06/11/2024 23:50;0.0;1.0;45.0;35.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;705;LEMD;SCEL;P;06/11/2024 19:35;07/11/2024 09:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAN;706;SCEL;LEMD;P;06/11/2024 21:05;07/11/2024 10:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAN;714;SBGR;LEMD;J;06/11/2024 23:35;07/11/2024 09:35;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT;MADRID;06/11/2024 23:56;07/11/2024 10:06;0.0;1.0;21.0;31.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;714;SCEL;SBGR;J;06/11/2024 17:00;06/11/2024 20:55;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 17:00;06/11/2024 20:50;0.0;0.0;0.0;-5.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
LAN;715;SBGR;SCEL;J;06/11/2024 07:15;06/11/2024 11:25;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;;;1.0;0.0;;;;;;;;;;com nuvens esparsas;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;716;SCEL;SBFL;J;06/11/2024 06:01;06/11/2024 09:20;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;HERCÍLIO LUZ;FLORIANÓPOLIS;06/11/2024 05:52;06/11/2024 09:10;0.0;0.0;-9.0;-10.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Chuvisco;;;;;;;;;;;;;
LAN;717;SBFL;SCEL;J;06/11/2024 10:25;06/11/2024 14:08;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);HERCÍLIO LUZ;FLORIANÓPOLIS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 10:21;06/11/2024 13:57;0.0;0.0;-4.0;-11.0;;0;;;;;;encoberto;;;;;;;;;Sem tempo significativo;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;y;;;;
LAN;752;SCEL;SBGR;J;06/11/2024 12:25;06/11/2024 16:30;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 12:47;06/11/2024 16:48;0.0;0.0;22.0;18.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Trovoada / Chuva;;;;;;;;;;;;;
LAN;753;SBGR;SCEL;J;06/11/2024 17:45;06/11/2024 21:59;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 18:23;06/11/2024 22:38;0.0;1.0;38.0;39.0;;0;;;;;;nublado;;;;;;;;;Trovoada / Chuva;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;y;;;;
LAN;762;SCEL;SBGR;J;06/11/2024 09:05;06/11/2024 13:15;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 09:03;06/11/2024 13:18;0.0;0.0;-2.0;3.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Chuva;;;;;;;;;;;;;
LAN;763;SBGR;SCEL;J;06/11/2024 14:20;06/11/2024 18:34;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 14:31;06/11/2024 18:34;0.0;0.0;11.0;0.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;770;SCEL;SBGL;J;06/11/2024 12:05;06/11/2024 16:20;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM;RIO DE JANEIRO;06/11/2024 12:05;06/11/2024 16:14;0.0;0.0;0.0;-6.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;com nuvens esparsas;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
LAN;771;SBGL;SCEL;J;06/11/2024 17:05;06/11/2024 21:55;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM;RIO DE JANEIRO;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 17:17;06/11/2024 22:02;0.0;0.0;12.0;7.0;;0;;;;;;com nuvens esparsas;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;772;SCEL;SBGL;J;06/11/2024 15:35;06/11/2024 19:50;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM;RIO DE JANEIRO;06/11/2024 15:30;06/11/2024 19:30;0.0;0.0;-5.0;-20.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;com poucas nuvens;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
LAN;775;SBGL;SCEL;J;06/11/2024 20:50;07/11/2024 01:40;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM;RIO DE JANEIRO;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 20:57;07/11/2024 01:35;0.0;0.0;7.0;-5.0;;0;;;;;;com poucas nuvens;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;776;SCEL;SBGL;J;06/11/2024 04:35;06/11/2024 08:50;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM;RIO DE JANEIRO;06/11/2024 04:24;06/11/2024 08:13;0.0;0.0;-11.0;-37.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;com poucas nuvens;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
LAN;777;SBGL;SCEL;J;06/11/2024 09:50;06/11/2024 14:40;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM;RIO DE JANEIRO;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 09:55;06/11/2024 14:37;0.0;0.0;5.0;-3.0;;0;;;;;;com poucas nuvens;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
LAN;782;SBCT;SCEL;J;06/11/2024 19:35;06/11/2024 23:21;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);AFONSO PENA;SÃO JOSÉ DOS PINHAIS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 19:51;06/11/2024 23:50;0.0;0.0;16.0;29.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;y;;;;
LAN;783;SCEL;SBCT;J;06/11/2024 15:30;06/11/2024 18:50;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;AFONSO PENA;SÃO JOSÉ DOS PINHAIS;06/11/2024 15:18;06/11/2024 18:47;0.0;0.0;-12.0;-3.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
SKU;604;SCEL;SBGR;J;06/11/2024 20:00;06/11/2024 23:50;SKY AIRLINE S.A.;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 20:20;07/11/2024 00:09;0.0;0.0;20.0;19.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
SKU;605;SBGR;SCEL;J;06/11/2024 08:55;06/11/2024 13:10;SKY AIRLINE S.A.;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT;SANTIAGO;06/11/2024 09:36;06/11/2024 13:50;0.0;1.0;41.0;40.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
